emp_no,birth_date,first_name,last_name,title,from_date,to_date,salary
57107,1952-09-06,Shigenori,Serre,Senior Staff,1997-08-22,9999-01-01,40000
57110,1952-02-15,Gou,Stellhorn,Senior Staff,1992-05-24,9999-01-01,75574
57111,1954-01-17,Armond,Suermann,Senior Engineer,1991-12-30,9999-01-01,40000
57211,1953-07-09,Uta,Undy,Senior Engineer,1990-03-01,9999-01-01,40000
57115,1952-12-02,Nirmal,Zobel,Engineer,1999-01-17,9999-01-01,60760
57217,1954-07-01,Freyja,Sommer,Engineer,1996-05-21,9999-01-01,42425
57118,1952-05-26,Xinan,Champarnaud,Engineer,1998-07-29,9999-01-01,48977
57119,1953-10-26,Aleksandar,Bondorf,Senior Staff,1989-01-20,9999-01-01,52304
57123,1953-06-14,Fatemeh,Zedlitz,Engineer,1999-04-25,9999-01-01,42556
57218,1953-01-19,Masamitsu,Ranum,Senior Engineer,1995-06-21,9999-01-01,40000
57223,1954-06-10,Danel,Copas,Engineer,2001-04-14,9999-01-01,72443
57229,1954-11-25,Haldon,Usery,Staff,1996-07-17,9999-01-01,52710
57144,1953-02-27,Arunachalam,Salinas,Senior Engineer,1997-09-01,9999-01-01,40000
57150,1953-04-17,Jayesh,Leivant,Technique Leader,1998-10-05,9999-01-01,59430
57153,1952-07-13,Rosine,Azumi,Senior Staff,2001-10-30,9999-01-01,80425
57155,1952-04-02,Lene,Brattka,Staff,1995-08-17,9999-01-01,52209
57233,1953-08-08,Hein,Murillo,Assistant Engineer,1999-11-12,9999-01-01,52331
57234,1952-07-18,Junsik,Veldwijk,Senior Staff,1993-10-08,9999-01-01,72060
57164,1954-03-25,Manu,Gecsel,Staff,1998-11-16,9999-01-01,68441
57243,1952-02-06,Shushma,Matteis,Senior Engineer,1998-09-11,9999-01-01,40000
57246,1954-10-09,Uinam,Bamford,Senior Staff,1998-03-05,9999-01-01,45547
57255,1952-11-15,Hyuckchul,Rodiger,Senior Staff,2001-08-17,9999-01-01,40116
57256,1954-09-07,Tomoyuki,Kalafatis,Staff,1996-05-27,9999-01-01,51088
57262,1954-06-03,Steve,Yavatkar,Senior Staff,1995-01-31,9999-01-01,69222
57269,1953-01-06,Tesuro,Berztiss,Senior Staff,1993-06-28,9999-01-01,46054
57272,1952-05-25,Neelam,Siprelle,Senior Engineer,1995-04-08,9999-01-01,40000
57279,1953-11-25,Rafail,Swab,Staff,2000-02-01,9999-01-01,84427
57373,1954-09-03,Mabry,Zhiwei,Senior Staff,1990-04-29,9999-01-01,67731
57377,1954-10-01,Adel,Slobodova,Engineer,1995-08-15,9999-01-01,40000
57379,1954-09-21,Pranay,Pollacia,Senior Staff,2001-06-15,9999-01-01,40000
57294,1954-12-23,Sariel,Engelmann,Staff,2000-01-04,9999-01-01,61930
57380,1952-11-04,Bodh,Verhoeff,Senior Engineer,1987-02-19,9999-01-01,40000
57384,1954-07-16,Chirstian,Birch,Engineer,1995-02-05,9999-01-01,58928
57390,1954-11-18,Isamu,Perl,Engineer,1997-05-11,9999-01-01,90128
57392,1953-03-03,Yechezkel,Detkin,Senior Staff,1996-01-16,9999-01-01,62855
57397,1953-09-11,Xiaocheng,Hmelo,Senior Staff,1999-02-05,9999-01-01,69434
57426,1954-05-22,Yannik,Lorch,Technique Leader,1987-02-11,9999-01-01,40000
57427,1954-09-24,Adit,Kalefeld,Engineer,1997-03-13,9999-01-01,40000
57429,1953-09-21,Krister,Zhang,Senior Engineer,1995-04-03,9999-01-01,40000
57442,1953-08-12,Arvin,Klassen,Senior Engineer,1992-11-15,9999-01-01,41450
57457,1954-11-02,Iara,Haumacher,Senior Engineer,1995-09-27,9999-01-01,53635
57464,1953-05-01,Weidon,Benveniste,Senior Engineer,1986-04-23,9999-01-01,66008
57468,1954-04-08,Collette,Roccetti,Senior Engineer,1998-02-08,9999-01-01,60998
57472,1952-11-30,Stepehn,Willoner,Technique Leader,1999-04-07,9999-01-01,40000
57474,1952-05-07,Gilbert,Katalagarianos,Senior Staff,1994-01-08,9999-01-01,82745
57476,1953-07-05,Badri,Staudhammer,Senior Staff,1994-09-30,9999-01-01,79387
57477,1953-02-04,Kellyn,Rijsenbrij,Assistant Engineer,1996-06-14,9999-01-01,42108
57485,1952-02-13,Georgy,Ligten,Senior Staff,1995-07-26,9999-01-01,40000
57487,1953-06-14,Yefim,Majewski,Senior Staff,1996-10-11,9999-01-01,50024
57488,1952-07-24,Junichi,Shimshoni,Senior Engineer,2002-06-29,9999-01-01,56711
57489,1953-07-30,Jaihie,Benaini,Senior Engineer,1991-06-18,9999-01-01,63167
57492,1954-05-06,Parto,Miyakawa,Senior Staff,1992-04-23,9999-01-01,40000
57295,1953-07-30,Armond,Carrera,Technique Leader,1998-02-14,9999-01-01,82992
57503,1952-07-26,Yefim,Spinelli,Technique Leader,1994-10-08,9999-01-01,50575
57297,1953-10-19,Tamiya,Benaini,Senior Staff,1994-02-24,9999-01-01,74639
57508,1953-09-28,Muneo,Rousseau,Senior Staff,1994-04-30,9999-01-01,51043
57300,1952-07-28,Alejandro,Uhrig,Staff,1998-12-26,9999-01-01,50258
57513,1952-04-27,Zorica,Merli,Senior Engineer,1999-02-26,9999-01-01,40000
57308,1952-06-05,Gritta,Parfitt,Senior Engineer,1991-02-14,9999-01-01,40000
57525,1952-02-29,Herbert,Dechter,Senior Staff,2000-10-23,9999-01-01,63116
57531,1954-08-25,Tonia,Tomescu,Senior Engineer,1994-10-31,9999-01-01,60218
57532,1954-12-31,Yannis,Cochrane,Senior Engineer,1990-11-29,9999-01-01,40000
57312,1954-10-12,Muzhong,Preusig,Engineer,1996-11-22,9999-01-01,51026
57535,1954-03-25,Dante,Petereit,Engineer,1998-12-25,9999-01-01,40000
57537,1954-05-18,Yannis,Hoogerwoord,Senior Staff,1999-10-15,9999-01-01,64262
57324,1954-10-08,Abdelghani,Gajiwala,Engineer,1994-08-01,9999-01-01,55423
57540,1953-06-18,Shounak,Armand,Engineer,1998-06-12,9999-01-01,40000
57544,1953-09-11,Gererd,Lammel,Senior Engineer,1986-04-11,9999-01-01,47378
57328,1953-10-18,Gopalakrishnan,Silva,Engineer,1997-10-22,9999-01-01,47330
57337,1954-07-17,Vasiliy,Rabehasaina,Senior Engineer,1998-05-06,9999-01-01,62357
57338,1952-09-11,Mostafa,Rouquie,Senior Staff,1998-11-23,9999-01-01,65175
57340,1953-08-20,Gro,Constantine,Senior Engineer,1996-08-19,9999-01-01,60164
57342,1953-03-07,Arnd,Krychniak,Technique Leader,1994-05-07,9999-01-01,64880
57546,1952-06-14,Lena,Schoegge,Senior Staff,1990-03-06,9999-01-01,61041
57547,1953-09-01,Jaber,Stafford,Technique Leader,1995-10-23,9999-01-01,40000
57349,1952-11-12,Debaprosad,Bondorf,Senior Engineer,2001-04-17,9999-01-01,55872
57350,1953-04-23,Aluzio,Georgakopoulos,Senior Engineer,1995-03-25,9999-01-01,40000
57566,1954-08-19,Masami,Barinka,Engineer,1996-02-20,9999-01-01,40000
57733,1952-09-02,Ramalingam,Cooke,Staff,1999-10-30,9999-01-01,47026
57568,1952-06-17,Toshimori,Gornas,Senior Engineer,1992-08-10,9999-01-01,40000
57575,1954-10-29,Kellie,Schurmann,Engineer,1994-11-12,9999-01-01,56401
57577,1953-10-14,Piyush,Holburn,Senior Staff,1999-07-30,9999-01-01,56315
57578,1954-07-01,Moheb,Fioravanti,Technique Leader,1989-05-22,9999-01-01,50124
57580,1954-10-28,Mrinalini,Krupka,Senior Engineer,1997-04-04,9999-01-01,40000
57596,1954-12-30,Shigehito,Schahn,Senior Staff,2001-07-15,9999-01-01,67634
57598,1952-06-10,Lokesh,Heinisuo,Senior Staff,1999-10-04,9999-01-01,40000
57601,1952-07-21,Kazuyasu,Brobst,Senior Staff,1994-09-23,9999-01-01,55513
57603,1953-12-01,Arunas,Frezza,Senior Engineer,1996-03-26,9999-01-01,61488
57609,1954-09-25,Greger,Casperson,Technique Leader,1996-03-15,9999-01-01,40000
57610,1953-12-13,Khaled,Vecchi,Staff,1999-10-06,9999-01-01,63473
57612,1954-07-24,Raimond,Rousseau,Senior Staff,1988-06-21,9999-01-01,96828
57616,1954-08-23,Akeno,Bergere,Staff,1997-05-01,9999-01-01,52975
57618,1952-10-06,Subhada,Schneeberger,Assistant Engineer,1995-09-30,9999-01-01,54734
57740,1953-06-05,Georgi,Osgood,Senior Engineer,1993-03-30,9999-01-01,67944
57620,1954-11-05,Along,Kragelund,Technique Leader,1986-04-18,9999-01-01,40000
57622,1953-01-20,Jianhua,Koshino,Engineer,1999-11-16,9999-01-01,56339
57628,1952-10-03,Shigehiro,Gornas,Senior Staff,1997-03-14,9999-01-01,40000
57741,1953-06-24,Dinah,Bouloucos,Senior Engineer,2001-11-18,9999-01-01,45858
57629,1953-03-16,Gretta,Vendrig,Senior Staff,1997-01-15,9999-01-01,56198
57744,1952-06-12,Kiyotoshi,Pesch,Senior Engineer,2001-02-14,9999-01-01,57741
57747,1953-08-16,Fun,Lubachevsky,Senior Engineer,1994-11-26,9999-01-01,60629
57751,1954-05-28,Dulce,Maksimenko,Technique Leader,1985-06-05,9999-01-01,42782
57649,1953-08-16,Gino,Kropp,Engineer,1997-11-11,9999-01-01,53306
57755,1953-05-14,Breannda,Munoz,Staff,1995-08-30,9999-01-01,67954
57664,1953-03-24,Gladys,England,Senior Engineer,1991-09-18,9999-01-01,54591
57665,1953-12-07,Eldridge,Whittlesey,Senior Staff,1989-05-13,9999-01-01,58340
57756,1953-12-16,Kwok,Ghalwash,Senior Staff,1995-07-28,9999-01-01,40000
57670,1954-07-04,Poornachandra,Perz,Senior Engineer,1997-03-21,9999-01-01,51269
57768,1952-07-31,Izaskun,Talmor,Senior Staff,1985-09-14,9999-01-01,48811
57672,1953-09-13,Stevo,Peltason,Engineer,1997-12-30,9999-01-01,46270
57676,1954-07-05,Alper,Noriega,Senior Staff,1994-06-27,9999-01-01,58073
57769,1954-01-31,Youpyo,Vickson,Senior Staff,1994-02-19,9999-01-01,40949
57688,1953-03-30,Mariangiola,Hofting,Senior Staff,1999-01-22,9999-01-01,71793
57780,1953-04-06,Martial,Androutsos,Senior Staff,1997-06-07,9999-01-01,57530
57695,1953-07-22,Zhiguo,Kusakari,Staff,1998-10-06,9999-01-01,40000
57696,1954-07-29,Arne,Monarch,Engineer,1998-04-22,9999-01-01,75011
57699,1952-05-20,Yakichi,Talmor,Senior Engineer,1998-07-25,9999-01-01,40429
57706,1954-08-12,Kolar,Quaggetto,Senior Staff,1997-07-14,9999-01-01,48784
57795,1953-07-27,Magy,Tetzlaff,Senior Staff,1987-04-24,9999-01-01,40000
57711,1954-02-19,Bezalel,Farrow,Senior Staff,1994-10-25,9999-01-01,40000
57713,1953-12-03,Theron,Bolotov,Senior Engineer,1989-03-23,9999-01-01,40000
57715,1954-09-07,Shaibal,Chinen,Senior Staff,2002-07-13,9999-01-01,40000
57716,1954-05-17,Kristinn,Schmiedel,Senior Engineer,1994-12-12,9999-01-01,48622
57721,1953-09-29,Aral,Weedman,Senior Staff,1999-08-01,9999-01-01,73443
57722,1953-02-12,Florina,Candan,Staff,1998-02-15,9999-01-01,75795
57815,1952-12-25,JiYoung,Munawer,Senior Staff,1989-01-14,9999-01-01,84520
57727,1953-02-15,Yannis,Vesel,Assistant Engineer,1996-09-10,9999-01-01,40000
57821,1953-05-07,Alejandra,Bolotov,Senior Staff,1994-10-26,9999-01-01,95710
57822,1954-11-18,Sachem,Camurati,Staff,1996-08-03,9999-01-01,70389
57827,1952-10-13,Abdelkader,Vasanthakumar,Staff,1995-11-05,9999-01-01,40000
57834,1953-07-12,Hideyuki,Demeyer,Senior Engineer,1992-07-08,9999-01-01,40000
57919,1954-05-14,Eckart,Fiutem,Senior Staff,1997-07-12,9999-01-01,74442
57837,1952-02-27,Aria,Murtafg,Senior Engineer,1996-02-09,9999-01-01,40000
57924,1954-10-28,Zhensheng,Matzat,Senior Engineer,1998-06-28,9999-01-01,48560
57930,1952-07-09,Hideyuki,Veeraraghavan,Senior Staff,1999-12-28,9999-01-01,89525
57933,1953-09-10,Yishay,Aamodt,Staff,1995-11-28,9999-01-01,73279
57942,1953-02-10,Licheng,Lindenbaum,Senior Engineer,1999-12-24,9999-01-01,70231
57945,1953-08-30,Tsvetan,Merlo,Senior Engineer,1997-05-08,9999-01-01,56883
57949,1954-09-14,Oldrich,Pezzoli,Staff,1999-01-20,9999-01-01,70731
57950,1952-05-27,Hidde,Bergere,Engineer,1995-08-01,9999-01-01,47968
57958,1954-12-31,Akhilish,Setiz,Senior Engineer,1990-09-22,9999-01-01,50479
57959,1952-11-02,Tooru,Cyre,Senior Staff,1994-09-28,9999-01-01,40000
57965,1953-04-11,Manton,Bolsens,Senior Staff,1998-07-08,9999-01-01,73328
57968,1954-02-11,Froduald,Perng,Engineer,2001-08-22,9999-01-01,46898
57971,1953-01-26,Ziya,Eiron,Senior Engineer,2000-05-23,9999-01-01,63531
57972,1952-09-02,Gian,Malinowski,Senior Staff,1998-02-06,9999-01-01,57175
57979,1952-08-25,Jahangir,Noriega,Senior Engineer,2000-01-08,9999-01-01,63776
57980,1953-06-24,Shay,Matheson,Senior Engineer,1991-04-29,9999-01-01,47878
57985,1953-04-02,Mokhtar,Bamford,Senior Staff,2000-08-30,9999-01-01,40000
57986,1953-08-06,George,Bodoff,Engineer,1997-08-11,9999-01-01,73417
57990,1953-08-19,Haldun,Buescher,Senior Engineer,1999-08-01,9999-01-01,40000
57996,1953-03-18,Zhonghua,Xiaoshan,Staff,1996-08-20,9999-01-01,100072
58006,1952-05-05,Ipke,Binding,Senior Staff,2000-11-09,9999-01-01,84267
58007,1953-04-06,Nitsan,Zlotek,Senior Engineer,2002-01-03,9999-01-01,54854
58009,1953-02-08,Herbert,England,Engineer,1999-06-19,9999-01-01,45261
58010,1952-09-28,Gennady,Broder,Senior Staff,2000-10-19,9999-01-01,53515
58012,1954-07-20,Tadahiro,DasSarma,Senior Staff,2001-05-24,9999-01-01,54461
58018,1952-06-22,Sarita,Schieder,Technique Leader,1997-12-19,9999-01-01,41951
57840,1953-09-13,Panayotis,Jullig,Staff,1993-12-25,9999-01-01,52565
58022,1954-07-31,Franziska,Marsiglia,Senior Engineer,1994-01-12,9999-01-01,40000
58024,1952-12-21,Naftaly,Berztiss,Senior Engineer,1999-08-08,9999-01-01,40000
58026,1953-06-11,Marko,Klerer,Senior Staff,2001-12-30,9999-01-01,40000
58027,1953-05-20,Yakkov,Luef,Senior Engineer,2001-01-18,9999-01-01,50572
57841,1953-02-05,Jordanka,Baek,Staff,1999-09-23,9999-01-01,65644
57847,1953-09-30,Moon,Kornatzky,Senior Staff,1994-09-07,9999-01-01,58112
58035,1952-02-05,Jenwei,Speckmann,Senior Engineer,1994-02-05,9999-01-01,57073
57850,1954-06-02,Ayakannu,Kawashima,Staff,1998-01-05,9999-01-01,58668
58045,1954-04-19,Sajjad,Ellozy,Staff,1999-09-23,9999-01-01,60746
58050,1954-02-11,Demin,Saoudi,Senior Staff,1999-12-25,9999-01-01,51309
57852,1953-04-08,Sivanarayana,Sadowsky,Senior Staff,2000-06-10,9999-01-01,50147
58052,1954-01-21,Kankanahalli,Melski,Technique Leader,1991-08-27,9999-01-01,40000
58053,1953-01-19,Zissis,Karunanithi,Senior Staff,1995-12-07,9999-01-01,72883
58054,1954-04-01,Christophe,Radwan,Senior Engineer,1996-11-30,9999-01-01,58214
57861,1953-02-02,Akhilish,Munoz,Senior Staff,1998-04-25,9999-01-01,40000
58059,1952-06-06,Behnaam,Zwicker,Senior Engineer,1991-06-20,9999-01-01,41917
58062,1952-06-05,Qingxiang,Chartres,Senior Engineer,1997-10-08,9999-01-01,48860
58063,1952-02-22,Dannz,Masand,Senior Staff,1998-12-24,9999-01-01,74511
58067,1953-07-30,Noritoshi,Walstra,Engineer,1995-08-17,9999-01-01,40000
57862,1953-01-02,Reuven,Nyanchama,Senior Staff,1998-07-08,9999-01-01,40000
58073,1953-07-17,Jianwen,Vecchio,Senior Staff,1999-12-26,9999-01-01,44957
57877,1954-02-05,Brigham,Delgrande,Senior Engineer,1998-09-22,9999-01-01,74055
58077,1953-09-20,Tse,Weedon,Senior Staff,1996-04-26,9999-01-01,57410
58082,1953-10-14,Mohammad,Talmor,Technique Leader,1991-01-04,9999-01-01,77359
58087,1952-03-31,Narain,Szilard,Senior Staff,1998-07-22,9999-01-01,59678
57880,1952-12-08,Mandell,Brodie,Staff,1999-11-30,9999-01-01,55556
57882,1954-05-09,Marsal,Bressoud,Senior Staff,1997-12-28,9999-01-01,62113
58094,1954-09-15,Danil,Katiyar,Engineer,1998-05-23,9999-01-01,40000
58096,1952-07-18,Rosine,Usdin,Staff,1998-11-24,9999-01-01,108753
57883,1954-09-23,Uma,Danlos,Senior Engineer,1987-10-27,9999-01-01,40000
57891,1954-10-17,Oscar,Schapiro,Senior Engineer,1996-07-12,9999-01-01,50658
57893,1954-12-16,Khalid,Tasistro,Senior Engineer,1992-08-01,9999-01-01,40000
57898,1954-10-31,Atilio,Pearson,Senior Engineer,1986-05-17,9999-01-01,45633
57901,1952-02-28,Koichi,VanScheik,Technique Leader,1997-12-07,9999-01-01,40000
57903,1952-10-22,Chriss,Munck,Senior Staff,2000-02-16,9999-01-01,71904
57908,1953-08-08,Holgard,Monarch,Senior Staff,1995-04-29,9999-01-01,42397
58109,1953-11-11,Terresa,Ramsak,Assistant Engineer,1996-12-11,9999-01-01,40992
58111,1952-04-20,Naftaly,Trystram,Engineer,1995-02-26,9999-01-01,40000
58119,1952-07-20,Mads,Glinert,Senior Staff,1990-03-27,9999-01-01,42663
57910,1952-06-09,Krassimir,Bale,Senior Engineer,1996-06-05,9999-01-01,42942
58125,1953-09-05,Xiaoshan,Cesareni,Senior Engineer,1998-01-18,9999-01-01,51416
58292,1954-07-28,Patricio,Codenie,Staff,1997-06-25,9999-01-01,40000
58127,1953-10-03,Arno,Pietracaprina,Engineer,1999-07-27,9999-01-01,43704
58129,1953-02-20,Chuanyi,Schnabel,Senior Staff,1995-10-24,9999-01-01,44924
58132,1954-03-05,Zdislav,Kawashimo,Senior Staff,1998-10-28,9999-01-01,90688
58136,1953-03-01,Lidong,Tsunoo,Engineer,1997-07-17,9999-01-01,40000
58145,1954-03-25,Kristinn,Bazelow,Senior Engineer,2000-03-24,9999-01-01,40000
58151,1953-08-09,Masanao,Smeets,Senior Engineer,1992-04-05,9999-01-01,40470
58161,1953-12-12,Akhilish,Karner,Senior Engineer,1996-06-26,9999-01-01,40000
58301,1953-03-22,Gift,Lindqvist,Senior Staff,1995-07-06,9999-01-01,54563
58181,1953-12-08,Gunilla,Irland,Engineer,1996-05-08,9999-01-01,51896
58182,1953-06-02,Gennady,Kroft,Senior Engineer,1995-09-05,9999-01-01,41694
58304,1954-09-08,Mabo,Grospietsch,Senior Engineer,1997-03-25,9999-01-01,46777
58184,1953-04-20,Yonghong,Mandelberg,Staff,1997-03-31,9999-01-01,53376
58187,1953-03-07,Muneo,Rosiles,Engineer,1999-10-15,9999-01-01,40000
58308,1953-01-04,Valter,Maliniak,Senior Engineer,2001-04-16,9999-01-01,56111
58197,1952-11-06,Sahrah,Suri,Senior Engineer,1994-06-26,9999-01-01,51526
58317,1954-02-28,Eric,Kenevan,Engineer,1998-03-01,9999-01-01,43595
58199,1954-01-31,Yechiam,Karnin,Staff,1995-12-02,9999-01-01,52140
58200,1952-10-28,Berni,Ozeki,Senior Engineer,1999-04-12,9999-01-01,62644
58206,1953-06-01,Shaibal,Lorie,Senior Engineer,1989-11-30,9999-01-01,40000
58213,1954-09-03,Toshimitsu,Wolniewicz,Senior Engineer,2001-04-17,9999-01-01,40000
58320,1952-08-26,Satosi,Madeira,Senior Engineer,2002-07-06,9999-01-01,40000
58220,1954-11-07,Uta,Vandervoorde,Assistant Engineer,1997-03-09,9999-01-01,42859
58321,1952-09-28,Djelloul,Hopewell,Staff,1994-03-10,9999-01-01,40000
58226,1954-10-28,Ayonca,Gill,Staff,1997-01-20,9999-01-01,95796
58227,1953-10-02,Armond,Bierbaum,Assistant Engineer,1997-04-18,9999-01-01,40000
58325,1953-12-26,Kokou,Riexinger,Senior Engineer,1995-11-28,9999-01-01,41626
58231,1953-06-13,Marjo,Pauthner,Senior Staff,1994-11-25,9999-01-01,92035
58238,1954-06-01,Bartek,Farris,Senior Staff,1996-01-19,9999-01-01,75561
58332,1952-08-15,Dines,Bierbaum,Senior Engineer,1996-06-29,9999-01-01,51617
58334,1953-11-08,Wojceich,Heydon,Staff,1995-09-30,9999-01-01,74172
58253,1953-09-27,Sachio,Chartres,Senior Engineer,1997-05-06,9999-01-01,63112
58254,1953-05-13,Premal,Ranft,Engineer,1994-01-20,9999-01-01,40000
58336,1952-07-16,Lucian,Jeong,Engineer,1997-10-30,9999-01-01,40000
58342,1954-02-16,Serenella,Muniz,Senior Staff,1997-04-27,9999-01-01,58797
58260,1953-12-22,Kiyomitsu,Noriega,Senior Engineer,1998-05-05,9999-01-01,40000
58265,1952-07-29,Guozhong,Wilharm,Senior Staff,1992-10-30,9999-01-01,69968
58270,1953-02-17,Jeanna,Ginneken,Senior Engineer,2000-09-08,9999-01-01,55147
58280,1954-07-30,Manohar,Peris,Senior Engineer,1993-10-28,9999-01-01,78088
58483,1953-05-16,Zine,Plotkin,Technique Leader,1997-02-05,9999-01-01,40000
58490,1953-04-29,Toshiko,Navazio,Senior Staff,1990-07-27,9999-01-01,79894
58500,1952-08-31,Gad,Gargeya,Engineer,1997-09-02,9999-01-01,47158
58503,1954-02-25,Vitali,Limongiello,Engineer,1996-02-07,9999-01-01,75581
58343,1954-05-06,Moto,Vidal,Senior Staff,1994-02-21,9999-01-01,65602
58508,1954-08-11,Vasilis,Ravishankar,Engineer,1996-03-07,9999-01-01,56204
58509,1953-01-04,Anneli,Laurillard,Senior Staff,1996-11-08,9999-01-01,72792
58346,1954-08-07,Ibibia,Lambe,Senior Staff,1996-07-05,9999-01-01,63599
58515,1952-03-12,Radhia,Hertweck,Senior Staff,1994-08-31,9999-01-01,40000
58516,1954-01-12,Xianlong,Knightly,Senior Staff,1995-11-13,9999-01-01,70580
58357,1952-11-07,Djenana,Vecchi,Senior Engineer,1998-10-02,9999-01-01,46870
58523,1952-03-08,Prasadram,Bazelow,Senior Engineer,1999-04-13,9999-01-01,40000
58524,1954-01-08,Jaideep,Sidhu,Senior Engineer,1995-01-20,9999-01-01,40000
58362,1952-09-01,Raimond,Randi,Staff,1997-08-24,9999-01-01,91744
58534,1953-05-31,Beshir,Jayawardene,Staff,1999-03-07,9999-01-01,85087
58535,1952-08-01,Susanna,Gruenwald,Senior Engineer,1990-09-10,9999-01-01,49912
58541,1954-10-08,Anneli,Pouyioutas,Staff,1997-02-08,9999-01-01,48986
58363,1953-03-05,Jaideep,Caine,Senior Staff,1992-09-10,9999-01-01,60654
58543,1953-07-11,Gully,Beausoleil,Senior Engineer,1993-09-12,9999-01-01,41223
58369,1954-03-27,Jiann,Schiper,Senior Staff,1990-02-02,9999-01-01,54695
58371,1954-07-14,Vugranam,Msuda,Senior Staff,1999-08-21,9999-01-01,57921
58376,1954-09-19,Marsja,Diderrich,Staff,1999-08-14,9999-01-01,79096
58567,1953-11-09,Eric,Scallan,Senior Staff,1990-04-28,9999-01-01,84035
58575,1953-03-18,Pasqua,Pfau,Senior Engineer,2001-04-17,9999-01-01,40900
58576,1952-12-11,Xianlong,Fraisse,Senior Engineer,1993-01-20,9999-01-01,52093
58580,1953-10-01,Zhiguo,Lienhardt,Senior Engineer,1994-09-22,9999-01-01,40000
58377,1952-05-20,Goo,Panienski,Senior Staff,1996-03-22,9999-01-01,43983
58586,1954-06-04,Guozhong,Zockler,Staff,1998-10-09,9999-01-01,40000
58378,1954-10-31,Bilhanan,Gruenwald,Engineer,1998-08-12,9999-01-01,52285
58587,1953-08-14,Zijian,Detkin,Senior Engineer,2002-02-04,9999-01-01,40000
58381,1954-02-27,JoAnna,Gustavson,Senior Staff,1998-01-10,9999-01-01,48775
58590,1954-03-08,Jayson,Roisin,Senior Staff,1993-05-20,9999-01-01,60702
58387,1952-03-29,Shaz,Thebaut,Senior Engineer,1994-12-20,9999-01-01,46577
58388,1954-07-27,Aemilian,Parveen,Senior Engineer,1994-12-25,9999-01-01,40000
58608,1953-01-19,Jenwei,Khalid,Senior Staff,1987-10-25,9999-01-01,78442
58609,1953-08-21,Behnaam,Mawatari,Staff,1998-07-28,9999-01-01,40000
58392,1953-12-18,Youpyo,VanScheik,Engineer,1996-09-29,9999-01-01,53385
58395,1952-03-26,Hisao,Apsitis,Technique Leader,1995-02-10,9999-01-01,41743
58626,1954-09-14,Moss,Reghbati,Senior Staff,1999-02-10,9999-01-01,58325
58632,1954-12-26,Kwangjo,Penn,Engineer,1997-08-09,9999-01-01,66051
58401,1953-07-04,Jiang,Garrabrants,Staff,1996-11-01,9999-01-01,76303
58635,1954-04-01,Giordano,Rabejac,Senior Engineer,1995-02-28,9999-01-01,40000
58636,1953-05-31,Sandeepan,Chinal,Senior Staff,1998-04-16,9999-01-01,66319
58637,1952-02-23,Mohamadou,Peck,Senior Engineer,1988-11-15,9999-01-01,67584
58640,1954-10-11,Noritoshi,Karcich,Senior Engineer,1988-07-27,9999-01-01,47171
58644,1954-04-27,Atilio,Ermel,Senior Staff,1999-11-20,9999-01-01,80018
58409,1954-10-31,Mara,Fordan,Senior Engineer,2001-06-13,9999-01-01,40000
58646,1952-03-14,Froduald,Goodrum,Senior Engineer,1994-06-29,9999-01-01,43341
58410,1952-07-06,Samphel,Bennis,Senior Staff,1992-06-12,9999-01-01,56996
58412,1952-12-10,Mabry,Sidje,Staff,1998-07-04,9999-01-01,50710
58414,1954-10-18,Shih,Schrift,Senior Staff,1995-09-02,9999-01-01,44078
58423,1954-07-19,Wuxu,Badr,Staff,1997-06-03,9999-01-01,55807
58425,1954-08-27,Foong,Calkin,Engineer,1998-09-04,9999-01-01,44777
58427,1952-07-05,Guozhong,Frezza,Senior Staff,2000-03-24,9999-01-01,57577
58657,1953-03-30,Pasqua,Kaltofen,Senior Engineer,1986-12-04,9999-01-01,40000
58659,1952-04-14,Claude,Rosin,Senior Staff,1997-08-03,9999-01-01,57721
58434,1954-09-07,Aluzio,Melton,Engineer,1998-05-02,9999-01-01,78661
58663,1952-10-04,Owen,Coorg,Senior Staff,1998-04-11,9999-01-01,40000
58665,1952-10-25,Mabhin,Marquardt,Senior Staff,1991-06-27,9999-01-01,58861
58666,1952-04-08,Guangming,Schmezko,Senior Staff,1998-08-14,9999-01-01,58434
58670,1952-07-04,Parto,Maccarone,Senior Engineer,1997-02-12,9999-01-01,46567
58672,1954-07-16,Hatsukazu,Pavlopoulou,Engineer,1998-09-24,9999-01-01,47419
58443,1954-03-19,Stein,Heping,Senior Staff,1996-05-30,9999-01-01,48618
58677,1952-04-18,Bowen,Madeira,Senior Engineer,2002-05-02,9999-01-01,41371
58682,1953-12-19,Siamak,Flasterstein,Senior Staff,2002-07-03,9999-01-01,43859
58684,1952-07-02,Frederique,Denny,Engineer,1996-05-28,9999-01-01,49925
58685,1954-06-23,Yuping,Puppe,Senior Staff,1994-01-27,9999-01-01,83000
58455,1954-01-19,Miomir,Vidya,Senior Engineer,1989-11-28,9999-01-01,40000
58689,1953-08-15,Zengping,Ushiama,Senior Staff,1995-02-02,9999-01-01,50527
58691,1954-05-25,Narain,England,Senior Staff,1993-03-25,9999-01-01,53830
58694,1952-07-03,Kasidit,Kragelund,Senior Staff,1995-08-07,9999-01-01,55884
58696,1954-08-03,Zsolt,Ruemmler,Senior Staff,1991-10-03,9999-01-01,55110
58457,1952-07-13,Yuping,Delaune,Technique Leader,1985-04-29,9999-01-01,64272
